class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
A,1,1,24,762097,68,92,1.5,42,162,40,673,35,38,1,128,111,5,477,181,40,406201,1,21,1,9,1,1,1,1,1
B,2,3,23,717464,67,88,1.5,65,141,46,1701,27,34,1,172,127,23,472,170,14,453470,1,2,1,7,1,1,1,1,1
C,3,3,19,4351,56,83,2.4,57,136,57,1058,72,40,1,0,0,0,113,129,14,2271,0,2,1,0,0,1,1,1,0
D,4,3,21,125891,50,81,2.5,68,154,70,974,43,39,1,131,101,40,148,36,14,208834,1,2,1,12,1,1,1,1,1
E,5,3,21,1054121,44,88,3,67,125,67,1075,32,20,1,100,74,20,97,120,14,738267,1,20,1,0,0,1,1,1,1
F,6,5,27,26220,39,65,3.6,80,155,68,1211,87,61,1,143,120,21,67,108,14,57813,1,2,1,8,1,1,1,1,1
G,7,5,19,120546,28,65,5.3,66,138,49,1358,49,44,1,229,205,26,22,40,14,190163,1,21,1,14,1,1,0,1,1
H,8,5,25,202388,25,60,1.1,51,156,51,835,41,30,1,1,1,50,13,68,14,299374,1,21,1,0,0,1,0,0,1
I,9,5,20,7228,25,57,0.7,52,287,40,799,65,49,1,107,100,2,54,10,14,5937,1,21,1,8,1,1,0,0,1
J,10,5,23,5500006,22,55,3.7,57,143,40,655,14,24,0,119,96,8,0,5,14,2742170,1,2,1,8,1,1,1,1,1
K,91,5,22,8765,21,53,3,65,128,45,2322,65,61,1,129,119,3,965,51,17,3277,1,7,1,7,1,0,1,0,0
L,92,5,22,2705,21,51,3.6,65,179,27,1270,90,57,1,163,91,6,509,896,14,841,1,20,1,5,1,0,0,0,0
M,93,5,20,76,21,48,4.8,72,119,41,1127,95,87,1,54,39,2,163,0,14,31,1,21,1,5,1,0,0,1,0
N,94,5,20,574110,20,45,2.3,68,118,52,1921,34,39,1,106,42,33,52,10,14,206954,1,2,1,0,0,0,1,0,0
O,95,5,23,5797506,19,43,6,70,140,51,904,20,23,1,100,80,4,0,0,14,18018367,1,21,1,8,1,0,0,0,0
P,96,5,94,754295,14,43,0.9,60,639,60,7516,43,36,0,38,20,15,44,0,27,560745,0,21,1,0,0,0,0,0,0
Q,97,5,21,125648,12,42,2.1,60,167,60,1066,32,35,1,135,119,8,0,0,14,670450,1,21,1,11,1,1,1,0,1
R,98,5,25,963466,34,39,2,41,219,41,2658,32,33,1,155,132,24,35,34,14,2549439,0,21,1,4,1,0,0,0,0
S,99,5,27,173528,11,31,4.6,65,191,81,1218,57,46,1,106,87,12,4,1,14,362407,1,21,1,18,1,0,1,0,0
T,100,5,25,4435,23,36,2.7,47,342,21,1787,85,70,1,120,100,23,879,395,14,5444,1,21,1,1,1,0,0,1,0
A,1,1,26,5711,45,87,1.2,76,195,49,1688,65,53,1,224,209,16,336,1220,17,7525,1,7,1,14,1,1,0,1,1
B,2,3,21,1054121,81,82,1.6,68,127,68,972,32,20,1,95,71,18,153,552,14,738267,1,20,1,0,0,1,1,1,1
C,3,3,25,1966647,51,82,1.8,68,149,45,526,8,18,1,1,1,9,153,1407,14,1310500,1,21,1,10,1,1,1,1,0
D,4,3,24,92532,49,80,2.3,35,149,35,865,57,55,1,105,84,4,151,141,17,21887,1,7,1,0,0,1,0,1,1
E,5,5,21,1054121,47,76,2.9,68,127,68,665,32,20,1,0,0,0,50,1200,14,738267,1,20,1,0,0,1,1,1,1
